Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,Suggested Job Role
67,76,73,67,81,63,66,94,82,10,6,6,4,5,29
83,61,91,70,68,61,83,62,68,6,9,0,9,4,26
70,61,76,82,92,61,78,84,85,9,2,6,7,2,32
70,92,68,94,90,74,85,76,93,10,9,3,1,7,18
66,79,79,60,74,63,75,93,93,5,4,3,5,9,23
75,82,73,78,60,74,91,66,64,4,2,5,4,2,22
85,62,78,80,79,64,63,93,65,9,9,2,7,4,24
87,74,61,66,74,67,61,71,83,11,1,4,3,1,6
78,80,61,78,87,64,84,60,77,4,5,1,8,7,13
66,84,72,80,89,75,88,92,74,11,7,6,3,9,0
61,70,77,67,92,94,81,72,85,11,7,0,4,5,1
68,88,68,68,84,80,86,86,71,7,7,5,6,8,16
71,68,66,73,71,90,88,62,87,11,5,6,1,6,33
62,79,89,74,90,92,93,90,72,4,6,6,6,3,12
64,94,72,93,64,83,65,70,92,7,9,6,6,1,12
65,88,93,94,68,75,73,88,63,11,2,2,9,9,29
62,65,90,81,88,94,81,71,79,11,5,2,1,5,14
87,83,68,72,81,90,84,78,82,5,8,0,3,7,24
86,78,92,85,64,64,75,63,80,7,2,2,2,1,7
84,70,87,68,63,91,64,73,94,8,9,0,5,8,2
84,64,72,79,74,73,89,79,74,10,5,5,4,4,3
70,81,85,80,75,75,83,81,91,6,5,0,3,2,21
68,62,75,68,80,72,76,78,60,5,4,3,4,9,21
75,87,73,79,72,76,62,63,72,10,3,4,5,7,20
80,61,69,74,66,78,76,87,83,12,4,5,9,1,1
69,81,93,94,91,89,86,70,82,4,1,5,3,1,26
88,68,77,87,62,91,66,73,90,12,4,6,8,4,0
92,94,62,90,65,67,61,80,92,5,4,5,3,7,30
86,83,67,70,93,81,76,90,80,9,2,5,9,3,8
91,60,88,77,61,68,84,66,85,6,8,1,1,6,21
79,63,81,85,87,75,90,76,91,7,5,2,1,5,16
66,60,67,87,90,60,92,91,94,12,6,3,5,8,14
84,84,94,78,70,61,80,64,86,6,2,4,5,9,5
65,85,90,60,64,86,94,64,63,10,3,4,4,3,15
90,84,72,94,79,83,61,70,89,10,3,1,2,8,15
74,61,76,64,64,73,81,90,91,8,2,3,1,6,16
80,75,67,88,65,77,79,78,82,12,4,2,6,8,24
67,70,84,65,76,86,67,76,71,10,6,3,3,7,11
94,60,94,88,68,78,60,72,71,9,5,1,4,7,4
78,91,63,83,72,80,85,65,71,10,8,3,8,9,14
84,78,77,74,75,73,69,91,90,5,8,2,9,2,30
71,89,87,88,65,60,74,84,70,7,7,3,7,4,2
84,67,65,90,68,74,85,63,63,4,3,5,3,8,17
94,85,93,80,80,84,79,72,78,5,3,0,6,9,6
85,84,85,77,77,68,76,84,76,12,3,5,3,6,31
83,76,94,92,65,71,80,83,82,12,8,2,5,4,4
70,89,85,80,63,80,77,65,67,12,2,2,3,7,24
72,72,71,63,86,86,75,90,70,10,4,5,7,9,16
71,92,66,77,70,72,83,92,87,7,7,4,5,7,20
61,60,67,69,92,80,67,75,77,8,6,1,1,1,6
86,63,80,91,65,60,85,76,85,4,4,1,6,2,26
74,89,75,61,85,80,89,75,84,11,3,0,6,3,1
89,82,89,76,63,85,75,68,94,12,1,3,1,5,18
70,62,67,93,81,64,89,93,60,9,6,5,5,7,9
65,70,60,69,85,82,80,83,65,12,5,6,1,1,10
69,75,74,87,74,68,68,85,89,7,9,5,2,1,13
60,67,82,82,75,68,67,82,70,5,6,6,7,9,21
70,88,86,90,90,66,77,61,75,4,1,5,2,1,6
86,75,69,79,92,79,61,68,69,10,4,2,2,7,28
84,61,66,71,67,68,83,93,81,9,4,5,5,8,31
65,82,91,85,85,76,71,74,93,6,8,1,6,9,5
61,91,80,79,67,87,86,74,80,11,3,5,6,6,13
65,62,60,65,90,66,69,70,69,10,5,4,6,6,12
77,76,81,69,89,68,87,86,89,8,7,3,2,8,2
63,64,78,78,85,67,73,66,85,11,1,6,4,5,9
72,94,67,62,73,80,67,88,73,4,7,1,7,4,18
70,66,79,76,73,92,70,62,93,5,1,2,9,3,7
89,92,89,92,75,80,82,91,87,7,8,5,1,9,14
71,70,82,94,87,71,80,62,77,9,2,2,2,9,26
86,86,77,88,94,70,85,92,80,6,7,3,1,8,19
79,62,82,70,60,94,74,88,93,12,1,4,3,7,16
88,69,84,62,80,71,93,92,86,4,9,4,1,7,24
64,83,91,83,78,77,66,71,78,6,9,1,9,4,15
66,61,92,94,70,60,78,74,87,6,7,2,8,9,32
69,67,68,70,79,77,67,77,65,4,1,1,8,4,9
67,69,91,89,86,77,89,67,72,6,6,0,3,4,7
81,61,66,70,76,78,80,76,77,7,9,3,8,9,9
70,92,86,86,70,78,92,65,73,12,2,2,5,5,5
93,62,80,68,64,70,72,88,63,11,5,5,2,5,27
83,75,92,83,76,91,90,75,75,10,1,5,1,5,16
68,77,72,83,93,72,69,91,82,8,8,0,9,4,4
71,89,64,70,88,90,88,94,64,4,5,4,8,3,8
60,88,62,73,81,85,61,85,67,5,5,6,3,9,27
85,86,79,80,93,87,93,65,68,5,5,5,8,4,26
73,78,76,60,64,83,84,74,67,4,8,3,9,7,33
91,65,74,67,84,60,79,90,74,6,6,1,5,5,18
80,70,87,84,92,68,77,88,79,12,8,1,8,1,23
73,93,75,92,68,65,70,92,71,7,5,3,2,5,1
82,86,68,77,78,87,83,89,70,8,2,6,8,1,20
69,81,76,90,91,76,60,81,83,4,4,1,9,8,15
69,72,66,78,63,60,67,72,68,12,1,1,5,7,21
87,86,81,74,82,64,78,76,85,12,5,4,8,9,9
86,72,69,76,85,93,91,73,72,10,1,2,9,7,1
85,80,77,87,89,76,60,83,77,9,5,2,9,1,18
64,89,88,90,86,81,83,94,67,5,9,1,2,8,29
70,79,81,76,60,85,85,65,81,9,2,6,2,3,26
60,77,92,72,66,93,93,87,70,10,4,3,5,6,15
71,79,73,78,87,90,83,93,94,7,2,6,3,3,15
72,66,89,66,66,68,65,77,91,4,1,3,9,9,13
79,66,60,81,63,94,90,65,75,4,6,4,2,2,32
85,90,76,92,78,67,88,92,66,10,5,4,7,7,33
78,78,84,88,86,73,80,79,79,7,6,1,1,9,6
61,66,63,94,87,68,86,69,68,5,9,0,4,6,18
71,83,92,90,83,81,86,93,61,11,1,5,8,1,21
77,67,68,76,77,81,80,61,75,4,3,4,5,4,10
62,76,68,90,65,77,81,85,90,6,4,5,7,4,0
75,81,88,91,94,61,83,64,80,4,3,1,3,2,20
62,92,61,90,75,61,61,81,84,10,9,5,8,4,22
65,67,74,60,85,61,83,79,81,12,1,4,9,8,17
68,61,87,70,68,84,91,71,88,12,2,3,1,6,16
75,92,83,63,75,80,94,93,69,12,1,0,3,3,8
83,81,88,61,74,90,85,67,64,10,4,3,2,1,0
92,87,83,62,68,75,64,91,64,12,6,1,7,8,28
77,70,69,83,93,82,66,75,62,6,9,5,3,1,18
91,94,80,80,86,91,89,91,93,8,2,5,7,9,8
74,91,89,68,61,66,94,76,81,5,5,3,3,9,32
87,85,70,72,86,78,86,84,65,10,1,6,9,3,23
86,79,81,61,93,63,89,87,61,7,9,5,3,8,18
64,80,70,72,75,73,84,64,79,5,1,1,1,3,24
87,87,67,71,67,75,91,90,89,11,3,1,6,5,4
79,85,60,63,60,73,73,84,61,5,2,6,9,9,32
81,92,70,84,69,66,83,62,65,12,9,1,6,7,9
69,93,89,78,82,60,73,84,70,4,3,2,1,4,3
87,88,70,80,66,75,71,80,68,7,8,6,6,9,2
82,81,87,68,69,80,79,90,80,12,1,4,4,6,14
90,78,67,63,79,90,93,94,81,12,2,0,4,4,15
81,88,67,70,60,79,73,66,72,9,6,1,7,3,11
60,82,89,91,79,76,93,84,71,8,2,6,3,5,8
94,75,60,64,65,86,65,61,76,5,3,3,8,7,9
85,90,65,75,63,62,71,89,93,7,3,3,7,2,14
92,83,74,76,68,71,61,87,86,12,5,6,2,6,22
67,65,83,86,78,65,71,90,91,8,4,6,3,4,26
64,78,69,65,79,71,94,82,63,9,7,5,7,4,12
92,89,79,85,93,69,61,93,90,10,7,3,7,1,7
61,60,76,83,75,69,79,63,70,6,1,2,2,8,19
77,83,70,81,67,90,82,79,75,11,4,2,1,7,9
72,76,78,60,80,84,71,87,83,10,7,2,4,6,33
82,90,77,94,85,65,63,70,79,8,6,3,7,3,32
93,75,85,91,77,79,68,80,67,7,7,3,1,2,16
91,66,80,73,72,94,70,81,73,11,5,2,8,2,31
91,85,89,90,68,76,68,71,71,6,2,0,1,9,30
89,89,65,80,82,60,72,65,71,4,3,6,5,9,19
86,79,73,87,89,89,90,86,69,5,6,5,2,5,31
85,66,72,65,80,88,62,61,63,7,3,1,6,6,27
63,73,89,89,68,91,74,74,75,8,2,0,3,5,22
89,88,68,86,86,60,87,87,74,4,9,5,7,4,22
71,72,71,60,82,63,69,67,64,4,9,4,2,7,12
70,78,75,85,84,80,87,85,74,9,5,6,6,9,23
71,77,94,80,80,70,78,91,91,7,1,6,3,8,2
77,80,86,60,65,94,94,90,74,11,8,6,1,5,25
87,83,69,63,89,77,64,79,93,7,2,0,4,6,18
80,69,89,70,86,62,69,69,75,9,1,4,3,7,15
93,79,94,77,66,74,74,61,76,7,3,4,8,7,18
89,86,64,74,94,87,78,92,74,10,9,4,4,8,20
70,85,86,85,89,62,82,66,85,7,5,1,2,4,25
64,76,91,69,61,62,86,73,74,8,9,6,5,5,10
64,80,92,69,60,71,65,62,67,5,1,1,5,8,3
85,67,90,68,82,94,63,89,68,12,4,1,5,7,28
86,76,70,69,71,91,64,90,92,11,8,0,2,9,2
61,79,66,76,77,79,92,93,86,6,4,2,4,6,9
85,67,65,90,63,77,70,91,64,12,2,4,3,2,25
94,70,81,94,93,89,87,85,93,10,8,4,3,4,15
83,70,74,66,64,66,93,60,77,11,5,3,9,4,4
94,71,63,88,66,86,72,79,69,11,1,5,4,4,16
63,72,93,84,84,84,85,89,65,4,9,2,6,8,26
93,91,70,60,70,69,94,74,65,5,7,0,3,8,19
74,90,91,67,65,89,89,94,79,9,5,6,9,4,11
76,62,77,68,72,87,86,78,82,8,9,2,5,3,18
86,69,74,91,65,90,83,85,87,12,5,1,6,2,1
94,94,66,88,82,78,93,91,88,6,8,3,7,7,18
93,82,91,78,79,72,86,93,69,11,7,5,8,6,26
79,84,88,82,87,90,84,77,94,12,5,3,5,4,33
75,90,90,69,64,73,81,86,70,10,8,3,1,7,7
93,88,82,71,77,73,65,92,73,10,4,5,2,8,18
86,91,91,78,72,81,68,72,80,8,2,0,6,3,31
61,73,82,79,70,64,72,73,78,5,8,6,8,9,28
66,93,64,78,88,63,81,93,70,5,3,2,8,7,28
64,82,76,88,84,62,71,66,69,9,7,4,1,8,23
82,77,75,70,68,69,90,62,86,6,8,1,8,8,16
91,90,90,70,79,71,85,88,67,11,1,4,5,4,28
65,93,75,71,82,79,87,66,68,7,7,2,6,8,22
66,61,86,73,69,94,86,71,60,12,9,6,4,8,8
70,78,77,93,89,87,80,64,90,11,6,6,2,3,16
88,86,85,93,68,88,91,92,68,9,2,6,1,8,29
81,88,83,93,69,64,69,86,85,10,7,1,4,8,28
86,81,84,80,87,87,90,86,61,8,7,6,4,7,2
83,60,63,76,82,91,86,69,90,8,9,4,3,7,5
84,71,91,86,72,76,75,84,73,10,7,0,6,6,0
60,62,68,64,84,71,74,87,68,7,7,6,3,6,30
87,69,67,71,90,73,68,73,87,6,1,3,6,6,10
61,79,65,65,85,73,76,74,78,4,3,4,9,4,23
74,80,83,80,69,77,68,74,84,6,4,6,6,3,6
72,74,70,80,76,60,92,90,61,11,8,6,9,3,20
81,66,63,70,82,86,67,89,73,10,1,1,5,3,0
92,73,85,69,77,61,70,71,68,12,3,4,1,5,32
65,69,62,71,76,78,63,61,70,6,5,1,5,3,11
78,87,78,77,73,90,88,71,90,9,8,2,6,9,3
84,84,72,76,80,60,81,81,69,7,7,4,3,5,6
68,92,84,83,80,76,84,66,81,4,5,5,6,4,33
90,64,63,94,80,81,75,73,73,6,1,1,9,4,29
72,78,62,86,66,89,80,62,63,12,7,2,8,7,1
83,90,72,66,63,83,89,85,88,9,9,5,9,6,0
83,65,84,64,87,65,63,70,85,4,5,5,4,1,8
76,80,77,92,91,74,77,70,67,10,9,0,6,7,17
93,84,82,62,80,61,67,72,67,9,1,1,2,7,23
81,85,84,83,83,91,74,77,92,10,8,4,7,6,1
66,61,94,74,89,75,81,65,90,7,3,4,9,2,21
62,87,80,77,77,64,74,84,63,6,3,1,4,3,30
86,67,92,74,93,72,91,94,93,10,5,0,9,3,29
84,84,93,93,75,76,89,75,61,8,5,3,3,1,26
85,64,93,87,84,61,81,83,91,10,5,5,8,7,33
88,87,60,63,81,77,84,67,73,8,8,2,1,9,27
77,67,75,66,82,65,72,65,81,12,2,5,4,2,16
72,78,66,76,84,70,62,60,93,6,1,2,4,9,25
93,93,83,72,69,64,77,82,84,4,1,2,9,2,17
70,65,67,66,64,70,90,90,74,7,7,0,3,1,10
75,73,90,64,65,92,77,72,69,6,1,3,2,2,13
62,86,63,77,78,94,73,93,71,5,2,5,7,5,33
78,81,92,76,84,65,74,78,73,4,7,6,8,2,29
81,68,79,63,65,86,85,89,71,6,9,4,2,9,7
85,63,83,70,85,93,63,62,79,4,8,4,7,8,11
94,79,76,65,67,94,71,70,83,10,5,3,3,6,21
76,84,89,71,63,81,71,68,86,4,8,5,3,5,21
72,82,88,65,83,83,82,89,65,9,1,2,7,6,9
89,73,84,81,81,63,61,82,87,4,4,3,2,8,33
84,71,88,66,92,68,86,78,82,4,5,2,9,4,3
72,75,68,75,69,83,62,70,94,9,9,4,2,9,33
71,81,75,94,63,75,61,67,90,5,2,6,7,8,23
81,65,89,74,86,85,80,93,85,4,4,2,4,1,30
65,67,84,81,77,69,82,60,85,12,9,5,7,8,30
60,93,69,67,65,68,65,81,89,7,3,5,5,5,11
82,69,61,67,92,77,76,60,85,4,9,0,2,6,33
79,61,60,91,81,89,63,93,64,6,5,1,7,8,18
89,64,68,90,71,62,78,68,79,4,4,6,2,5,7
83,89,74,70,65,60,79,78,89,7,2,4,7,8,9
62,71,71,61,85,77,91,86,60,6,7,3,9,9,7
83,75,87,86,60,72,73,93,92,10,5,4,9,9,30
92,81,90,93,62,72,80,64,92,12,4,2,7,5,19
85,88,88,91,76,88,93,77,90,11,3,2,3,4,28
72,73,86,67,89,66,80,73,81,7,1,4,4,8,15
91,77,79,85,67,89,68,90,65,9,3,4,3,1,8
89,73,71,77,61,67,83,63,88,12,3,2,4,2,0
65,93,61,92,72,91,91,87,65,9,8,2,9,7,18
93,60,73,83,64,87,70,68,92,8,9,3,6,2,8
92,84,79,76,65,88,68,74,77,12,2,6,7,4,0
65,63,80,62,71,86,92,89,94,8,2,4,6,9,3
84,77,62,87,68,78,62,77,89,7,1,6,8,1,0
66,74,85,69,75,68,89,60,91,8,5,4,8,4,15
77,70,67,61,67,66,72,87,84,9,7,2,9,5,27
70,70,89,61,92,73,66,90,82,6,5,5,4,3,30
73,65,80,62,71,86,65,93,87,9,9,5,4,5,25
73,69,70,70,79,84,62,72,67,5,7,6,6,1,32
69,93,83,78,68,60,92,62,83,12,6,5,4,9,20
72,71,79,78,82,72,89,94,74,11,8,4,9,5,17
71,93,90,83,61,71,78,90,64,11,3,6,1,6,31
89,94,60,79,73,69,86,67,60,10,8,2,1,1,10
80,79,75,94,94,74,83,93,79,4,4,4,6,7,9
85,93,88,75,63,66,87,76,87,7,7,3,4,4,11
92,66,72,82,73,69,85,82,91,5,2,2,4,4,17
61,83,69,93,93,60,83,60,85,9,7,4,9,3,10
84,80,90,68,71,65,63,68,66,5,3,4,1,6,9
66,62,72,71,85,84,82,62,62,11,2,0,2,4,32
75,71,76,73,60,77,92,93,82,4,6,5,5,6,0
60,74,92,84,78,75,91,77,70,5,5,3,7,2,2
83,86,68,91,81,89,80,85,68,5,5,0,3,5,14
71,92,66,84,88,69,66,77,71,10,3,4,2,4,6
81,65,84,85,65,87,63,86,76,6,3,2,9,2,33
67,84,65,75,79,87,83,89,74,6,1,2,1,6,32
90,78,83,85,70,94,77,90,85,4,5,0,3,1,15
79,65,67,63,77,75,70,79,93,4,6,2,6,9,15
92,68,71,67,74,91,71,91,73,6,4,5,5,4,31
67,74,79,60,94,82,87,60,63,10,1,4,2,7,22
93,66,66,72,77,66,70,80,85,9,3,4,4,7,14
72,73,73,90,73,76,68,94,84,5,5,4,9,4,9
89,69,70,67,93,71,80,88,78,4,7,6,1,5,33
80,82,74,70,69,64,70,79,78,8,9,0,1,4,2
68,61,88,89,63,85,87,87,83,10,7,0,1,7,11
78,64,72,73,76,82,60,86,94,6,1,6,1,8,19
82,74,81,65,87,93,62,80,79,5,7,2,4,1,30
79,90,88,67,82,91,70,68,72,11,7,5,7,1,12
75,72,61,62,84,73,90,87,63,7,6,0,4,3,26
79,79,73,65,82,82,93,61,88,9,8,3,5,1,8
77,62,62,83,84,69,77,73,67,4,2,3,2,8,12
91,88,82,72,92,85,79,88,89,10,8,5,2,2,13
93,61,84,85,63,81,66,83,74,12,9,3,5,9,7
66,85,70,74,68,62,92,65,65,12,7,6,9,2,8
61,83,65,83,93,90,93,72,94,5,9,2,5,9,31
87,93,75,60,66,84,82,80,91,5,1,1,4,2,21
82,87,91,90,84,69,89,80,86,5,9,5,6,3,17
83,87,79,64,76,62,93,62,88,12,5,0,3,1,21
74,72,72,74,93,71,87,92,63,12,5,6,6,9,8
64,64,78,66,76,71,86,78,81,12,8,6,8,5,5
83,82,82,84,69,83,85,74,71,12,9,6,7,6,7
93,92,86,61,72,63,70,61,79,7,4,2,6,6,29
66,74,92,88,76,61,78,74,63,8,5,4,5,3,24
86,76,80,79,64,81,90,84,73,5,7,1,8,3,27
86,79,77,70,72,68,88,68,88,5,4,3,2,7,29
88,74,76,94,72,70,91,88,89,12,1,3,4,9,14
93,64,88,80,92,83,71,80,87,6,6,1,2,7,10
92,73,76,64,80,79,65,62,83,9,4,1,6,8,3
68,71,76,61,87,60,88,80,64,10,8,2,2,3,2
93,85,70,75,69,77,66,74,94,10,8,2,4,1,3
75,94,88,73,90,84,79,82,81,7,9,3,3,9,24
80,75,83,71,83,62,82,86,90,4,3,4,6,2,2
70,76,83,61,65,85,79,61,68,11,8,5,9,5,16
61,92,91,69,65,83,81,71,90,8,3,5,2,2,12
76,68,87,76,73,72,79,85,82,10,6,5,4,1,19
78,60,72,68,76,60,75,62,65,8,2,5,2,9,23
89,71,77,84,86,83,89,88,64,9,1,1,7,7,0
66,86,91,92,92,86,62,89,94,4,6,6,1,5,12
79,87,76,70,72,67,67,71,70,6,3,4,6,5,33
86,65,80,63,70,79,90,62,82,5,2,0,6,4,19
65,73,73,75,62,71,67,75,86,4,9,1,9,7,23
81,80,92,90,65,83,81,75,91,12,4,6,7,2,12
73,63,80,67,76,75,69,61,69,7,3,6,1,6,3
62,65,79,85,94,88,63,67,87,7,1,6,6,4,23
91,77,84,80,74,78,79,73,69,8,5,3,3,4,9
82,91,83,63,77,63,91,85,90,5,1,6,7,9,0
71,70,60,94,88,83,76,73,65,11,3,6,6,7,16
61,80,69,78,83,71,81,85,60,5,3,1,3,4,21
67,71,85,87,87,82,62,64,74,12,6,0,3,2,29
62,92,94,94,78,69,91,67,81,9,5,3,3,2,7
93,70,86,78,77,79,92,79,92,7,4,6,1,8,10
68,80,83,87,80,90,67,94,66,11,9,0,4,6,32
85,77,69,89,64,86,87,73,67,10,9,4,7,3,9
93,87,77,82,79,83,82,72,80,11,7,3,2,9,30
94,91,84,68,67,71,63,84,83,5,4,3,9,9,25
89,79,84,93,83,93,77,70,82,4,7,6,7,6,5
87,86,89,77,71,61,74,86,62,9,6,0,8,8,17
92,83,82,93,80,78,80,62,94,8,6,5,3,2,29
87,83,76,72,60,86,90,89,65,6,2,2,6,1,1
63,67,64,76,90,73,87,61,71,10,5,2,4,6,31
91,66,84,72,84,78,94,93,73,8,8,4,7,8,11
83,92,62,89,82,66,88,77,91,9,8,4,3,1,3
64,86,68,89,69,93,87,75,87,9,5,5,5,5,19
84,65,83,88,62,87,81,79,77,9,7,2,8,8,16
71,90,79,68,78,78,87,66,74,9,5,1,2,3,18
67,73,78,66,89,61,70,71,72,5,8,3,9,7,26
84,63,94,85,62,90,91,61,84,9,5,4,2,1,23
88,67,78,73,70,80,82,81,65,8,5,3,1,3,31
66,90,91,69,62,90,61,63,65,5,3,0,6,7,23
85,87,67,87,76,72,84,74,67,8,8,5,7,8,19
69,68,75,77,67,63,65,82,90,10,9,6,3,3,19
93,81,91,78,74,74,75,60,94,12,4,0,9,7,21
74,79,72,82,90,83,88,78,66,10,2,6,1,3,4
66,79,68,65,65,80,83,86,70,5,9,4,6,6,18
66,79,81,88,71,70,90,64,60,6,7,1,3,7,22
80,77,74,74,73,82,87,81,70,11,7,2,3,7,16
81,76,86,79,68,90,90,73,94,9,1,6,6,4,10
87,75,61,74,79,64,94,63,71,12,4,0,7,9,13
72,69,82,85,81,62,92,85,72,7,2,1,4,2,5
87,62,87,76,72,79,70,85,76,8,4,6,3,6,27
82,67,74,74,85,83,77,70,84,6,1,6,9,6,30
70,82,93,63,73,81,77,88,63,8,2,3,8,3,26
62,81,67,67,90,91,87,72,72,8,5,3,3,7,19
89,79,67,81,69,72,92,91,72,12,2,2,3,3,13
61,85,78,92,66,69,62,81,63,8,5,5,5,7,13
82,74,71,92,66,90,70,76,63,12,4,3,1,2,17
67,72,73,60,68,64,90,71,85,12,9,2,7,1,24
81,73,83,66,60,89,70,77,71,5,5,0,8,4,16
86,73,88,92,61,73,85,78,65,9,1,0,1,2,16
71,61,70,86,76,93,72,67,80,9,6,0,2,8,16
70,61,76,94,75,94,73,78,84,10,4,6,2,9,16
81,93,88,64,69,70,64,93,71,7,9,4,4,2,11
71,61,81,74,84,82,89,73,70,10,8,6,2,1,0
69,66,76,88,85,68,69,72,77,8,6,1,4,7,2
89,75,63,88,61,72,76,84,91,8,3,1,2,9,21
81,67,72,92,89,81,80,85,68,9,9,4,3,6,16
62,85,77,61,86,81,78,63,65,4,8,6,9,4,33
80,74,67,81,78,62,79,88,88,11,7,6,1,2,29
76,61,83,78,66,90,82,87,60,8,9,5,5,2,10
70,88,67,89,78,73,73,86,71,11,2,3,3,3,16
68,94,60,73,94,65,81,93,87,4,9,0,9,4,3
61,65,60,72,91,61,90,74,72,9,8,6,3,7,18
74,61,81,91,77,61,92,68,63,8,4,3,3,1,4
63,64,91,66,61,68,71,84,61,7,3,6,3,8,1
75,68,78,87,87,75,92,62,92,7,7,4,4,9,32
76,77,76,66,67,72,75,75,70,6,5,5,7,1,20
78,61,93,86,75,68,72,88,84,7,6,6,2,5,26
77,74,84,64,74,72,75,74,80,4,7,4,7,2,10
64,94,67,62,85,93,89,85,72,8,5,6,9,2,33
63,69,71,68,84,80,86,63,82,11,3,5,7,3,30
86,80,68,62,78,63,92,73,62,12,9,3,8,9,3
81,83,74,66,92,66,71,72,71,4,9,0,3,4,11
94,87,88,82,90,67,75,92,70,7,6,4,8,3,4
70,75,61,72,90,72,91,71,77,6,6,3,7,1,5
93,89,87,67,71,66,70,76,77,4,9,0,5,2,24
83,87,85,87,83,66,76,63,61,4,1,0,1,7,28
68,67,94,91,61,77,94,90,81,4,7,1,2,1,5
68,94,61,86,85,94,64,72,71,11,5,1,5,1,20
92,78,63,83,70,68,66,77,70,7,8,5,4,7,28
82,94,64,76,78,76,68,70,80,7,2,5,6,1,27
65,93,81,63,83,64,71,82,69,8,7,3,5,7,33
62,85,80,68,88,68,70,72,77,5,7,3,7,8,18
82,91,77,91,76,88,90,76,67,9,6,4,4,9,28
64,92,62,94,81,65,93,70,71,7,5,4,6,3,8
71,77,86,60,72,72,89,94,91,4,9,0,7,5,16
72,67,85,93,84,60,79,87,89,10,4,6,8,2,28
85,75,86,63,60,60,92,84,74,10,2,2,7,8,12
88,81,94,76,65,65,90,90,93,6,8,5,4,5,3
72,94,90,82,92,75,92,77,76,6,4,3,9,6,25
72,75,80,80,88,68,62,85,69,12,5,3,5,6,16
66,64,78,74,93,82,83,69,64,11,7,6,9,5,26
67,82,84,72,72,90,63,90,69,8,7,4,4,7,29
84,84,74,80,64,66,79,72,65,7,8,4,3,7,19
92,93,73,81,80,60,91,73,87,5,2,6,5,3,18
84,85,77,62,61,78,93,71,61,4,2,2,7,9,16
73,81,83,81,65,87,61,84,60,6,2,0,4,4,3
89,73,75,64,74,90,82,80,86,7,5,3,4,7,3
88,81,89,81,88,74,61,75,91,4,9,5,2,2,21
66,74,78,77,68,88,68,72,70,4,7,3,3,7,1
85,63,75,60,80,82,77,77,92,6,9,1,4,6,27
94,68,93,79,79,74,75,83,79,8,8,0,8,2,24
71,87,94,79,84,65,76,92,89,4,3,5,8,1,10
93,92,90,64,80,85,84,64,64,5,7,2,4,7,23
91,60,75,66,69,90,83,66,65,9,9,4,6,9,3
69,84,83,66,66,83,74,63,92,4,4,2,3,3,15
60,88,69,73,72,80,83,83,83,9,4,3,1,8,21
66,70,67,75,77,75,68,80,93,7,1,5,9,9,16
83,75,66,62,91,73,84,69,62,10,5,1,7,1,18
91,90,89,67,77,61,69,66,64,11,2,2,7,5,1
71,94,82,81,74,92,76,83,69,9,4,5,6,2,23
70,89,86,85,66,60,90,76,64,5,1,0,1,5,2
77,63,88,90,66,89,80,60,73,6,5,3,8,6,32
69,92,79,87,71,69,71,73,80,12,7,5,5,5,8
77,79,72,66,89,82,71,74,68,11,8,0,7,4,33
85,75,78,93,75,89,71,71,75,8,4,3,5,4,16
88,77,60,79,89,90,90,65,83,8,8,0,7,3,28
77,74,60,82,83,84,77,90,94,12,1,4,5,4,3
74,60,63,78,87,91,63,69,67,12,3,0,2,2,15
79,78,66,60,76,69,62,61,66,12,6,6,8,1,19
66,66,62,92,61,90,80,89,81,4,1,6,6,6,30
72,72,67,88,85,85,65,87,93,5,3,1,6,6,5
60,78,89,61,86,87,65,72,68,6,9,0,6,7,17
79,91,80,92,86,88,74,91,83,11,2,6,5,1,27
77,65,62,83,61,64,69,72,81,8,5,3,9,5,18
68,79,92,79,74,90,64,80,64,4,9,5,4,1,4
74,75,70,86,93,92,85,63,60,10,7,1,9,1,10
62,65,72,75,65,76,68,84,67,11,1,0,9,7,10
89,90,90,76,72,79,60,94,88,12,7,2,9,5,22
94,70,87,80,93,93,92,62,61,10,3,5,1,2,7
61,87,92,91,85,65,67,68,74,10,3,0,2,8,1
92,66,81,72,74,77,91,83,70,10,9,0,6,7,24
92,88,88,93,74,93,67,76,76,4,8,0,8,4,29
82,63,87,78,70,71,75,86,78,4,3,2,8,4,11
89,84,76,68,90,89,84,88,85,5,2,5,4,7,9
68,69,81,64,78,77,68,81,83,12,4,0,4,7,10
80,91,81,74,89,79,89,66,89,7,7,6,2,9,13
70,77,62,71,79,80,90,76,87,5,4,1,3,8,19
85,83,81,76,77,74,68,86,70,6,9,4,9,7,12
64,68,79,90,74,73,65,60,71,6,5,2,4,1,27
93,88,76,88,60,94,79,90,83,8,4,2,5,4,9
85,85,74,93,68,67,72,74,82,9,6,4,2,1,32
72,85,76,89,66,75,76,85,88,4,1,3,9,1,11
65,63,80,72,90,85,88,88,92,12,5,3,4,5,17
70,68,72,84,87,61,68,73,87,5,9,6,1,7,3
74,92,79,85,83,87,78,85,85,9,8,5,3,6,20
77,80,74,67,60,62,84,86,69,7,5,4,7,1,0
60,83,64,60,73,83,65,84,86,6,5,5,2,9,16
63,65,66,60,86,64,62,83,70,9,4,0,8,7,14
86,87,75,66,77,62,86,66,84,5,3,0,3,2,29
